dt,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1739750400,2025-02-17 00:00:00,4.0,1094.82,0.0,29.13,50.78,11.32,50.41,77.14,9.5
1739754000,2025-02-17 01:00:00,5.0,1922.61,0.01,54.15,28.61,18.84,93.36,127.01,14.19
1739757600,2025-02-17 02:00:00,5.0,2830.51,2.32,82.94,6.79,25.99,139.79,181.7,19.0
1739761200,2025-02-17 03:00:00,5.0,4325.87,34.42,98.71,0.67,34.81,205.83,262.12,30.4
1739764800,2025-02-17 04:00:00,5.0,6248.47,93.88,105.56,5.05,43.87,274.47,351.17,47.12
1739768400,2025-02-17 05:00:00,5.0,7904.05,128.75,138.46,12.34,51.98,338.18,435.39,72.96
1739772000,2025-02-17 06:00:00,5.0,8438.11,97.45,202.89,35.41,60.56,404.14,516.84,87.14
1739775600,2025-02-17 07:00:00,5.0,9506.23,51.86,285.15,107.29,68.66,557.2,687.02,90.18
1739779200,2025-02-17 08:00:00,5.0,10574.34,26.6,329.02,237.46,65.8,818.79,960.5,76.0
1739782800,2025-02-17 09:00:00,5.0,9292.6,12.52,265.96,371.93,50.07,967.96,1096.63,45.6
1739786400,2025-02-17 10:00:00,5.0,5874.63,4.69,142.57,446.32,33.86,776.46,871.77,24.07
1739790000,2025-02-17 11:00:00,5.0,3524.78,2.68,89.11,377.66,26.23,451.77,527.51,18.24
1739793600,2025-02-17 12:00:00,5.0,2349.85,1.96,77.46,254.63,22.17,249.59,319.25,16.21
1739797200,2025-02-17 13:00:00,5.0,1789.09,0.47,72.66,164.51,19.79,151.88,219.25,13.43
1739800800,2025-02-17 14:00:00,5.0,1682.28,0.01,75.4,103.0,17.17,115.28,182.15,14.19
1739804400,2025-02-17 15:00:00,5.0,1535.42,0.0,65.8,80.11,14.66,95.27,160.1,16.21
1739808000,2025-02-17 16:00:00,5.0,1522.06,0.0,58.26,70.1,15.02,92.52,155.62,19.25
1739811600,2025-02-17 17:00:00,5.0,1735.69,0.0,62.38,45.42,15.02,93.08,153.26,22.8
1739815200,2025-02-17 18:00:00,5.0,1895.9,0.18,66.49,23.25,14.9,94.1,152.63,23.56
1739818800,2025-02-17 19:00:00,5.0,1815.8,1.23,64.43,9.57,13.35,83.18,137.49,19.51
1739822400,2025-02-17 20:00:00,4.0,1588.82,1.34,57.58,7.06,10.97,67.37,114.47,13.17
1739826000,2025-02-17 21:00:00,4.0,1401.9,0.36,50.72,12.7,9.89,60.85,103.59,10.26
1739829600,2025-02-17 22:00:00,4.0,1188.28,0.02,38.73,24.32,8.94,54.74,94.45,8.74
1739833200,2025-02-17 23:00:00,3.0,1001.36,0.0,29.47,33.97,8.58,48.54,86.13,8.04
1739836800,2025-02-18 00:00:00,3.0,934.6,0.0,25.7,37.91,9.18,45.86,82.17,7.85
1739840400,2025-02-18 01:00:00,3.0,988.01,0.0,27.42,36.84,10.37,47.61,83.33,8.36
1739844000,2025-02-18 02:00:00,4.0,1201.63,0.04,37.7,28.61,11.92,54.53,90.77,10.64
1739847600,2025-02-18 03:00:00,5.0,1895.9,7.49,59.63,6.88,15.74,78.06,118.53,17.73
1739851200,2025-02-18 04:00:00,5.0,2964.02,43.36,61.01,8.67,20.98,108.32,154.03,26.85
1739854800,2025-02-18 05:00:00,5.0,3204.35,51.86,64.43,17.7,22.89,112.95,160.19,32.93
1739858400,2025-02-18 06:00:00,5.0,2510.07,28.39,63.06,43.99,20.5,93.76,139.15,29.39
1739862000,2025-02-18 07:00:00,3.0,1201.63,8.16,32.9,85.83,14.07,46.19,84.07,14.82
1739865600,2025-02-18 08:00:00,3.0,794.41,4.41,20.73,100.14,10.25,31.17,63.93,9.25
1739869200,2025-02-18 09:00:00,3.0,707.63,3.8,17.99,98.71,8.7,25.98,57.14,7.41
1739872800,2025-02-18 10:00:00,3.0,694.27,4.19,18.34,87.26,7.39,23.9,57.33,6.9
1739876400,2025-02-18 11:00:00,3.0,720.98,4.92,21.08,72.24,6.85,23.16,58.83,7.09
1739880000,2025-02-18 12:00:00,3.0,761.03,5.03,25.02,57.94,6.38,22.01,56.8,7.09
1739883600,2025-02-18 13:00:00,3.0,894.55,3.46,37.7,34.69,6.56,22.2,54.16,7.79
1739887200,2025-02-18 14:00:00,3.0,961.3,0.69,45.93,16.63,6.62,22.87,51.12,8.23
1739890800,2025-02-18 15:00:00,3.0,921.25,0.32,40.44,19.31,6.68,24.56,50.09,8.99
1739894400,2025-02-18 16:00:00,3.0,907.9,0.08,35.3,26.82,7.21,26.88,51.39,9.88
1739898000,2025-02-18 17:00:00,2.0,761.03,0.01,26.05,38.62,6.68,23.73,46.76,8.61
1739901600,2025-02-18 18:00:00,2.0,627.52,0.0,18.85,47.92,5.84,19.6,42.3,7.09
1739905200,2025-02-18 19:00:00,2.0,500.68,0.0,13.37,56.51,4.65,15.46,40.36,4.69
1739908800,2025-02-18 20:00:00,2.0,407.22,0.0,10.02,63.66,3.87,14.93,43.28,2.63
1739912400,2025-02-18 21:00:00,3.0,360.49,0.0,7.28,68.66,3.87,18.34,51.26,2.09
1739916000,2025-02-18 22:00:00,3.0,350.48,0.0,6.08,70.1,3.99,22.23,56.96,2.15
1739919600,2025-02-18 23:00:00,3.0,383.85,0.0,7.03,67.23,4.95,25.24,57.67,2.88
1739923200,2025-02-19 00:00:00,3.0,440.6,0.0,9.08,62.94,6.56,28.05,57.69,3.93
1739926800,2025-02-19 01:00:00,3.0,527.38,0.0,12.51,58.65,8.46,31.58,59.85,5.0
1739930400,2025-02-19 02:00:00,3.0,574.11,0.0,15.08,55.79,8.58,33.94,60.7,5.32
1739934000,2025-02-19 03:00:00,3.0,720.98,0.17,22.96,50.07,8.58,38.69,66.52,6.9
1739937600,2025-02-19 04:00:00,3.0,801.09,3.05,26.73,51.5,8.7,39.08,68.95,7.35
1739941200,2025-02-19 05:00:00,3.0,720.98,4.58,21.25,61.51,8.23,37.36,67.81,7.22
1739944800,2025-02-19 06:00:00,3.0,580.79,3.35,13.71,72.96,7.15,35.54,66.23,5.89
1739948400,2025-02-19 07:00:00,3.0,453.95,1.93,7.97,80.11,4.83,31.69,60.36,3.51
1739952000,2025-02-19 08:00:00,3.0,410.56,1.48,6.25,82.97,3.99,29.39,56.64,2.56
1739955600,2025-02-19 09:00:00,3.0,387.19,1.27,5.48,84.4,3.31,27.76,55.13,1.98
1739959200,2025-02-19 10:00:00,3.0,380.52,1.3,5.74,81.54,3.16,29.24,59.84,1.82
1739962800,2025-02-19 11:00:00,3.0,393.87,1.45,7.03,75.82,3.37,29.88,59.4,1.96
1739966400,2025-02-19 12:00:00,3.0,407.22,1.29,8.74,69.38,3.13,28.92,54.54,2.06
1739970000,2025-02-19 13:00:00,3.0,440.6,0.66,12.34,62.23,3.07,28.32,51.61,2.22
1739973600,2025-02-19 14:00:00,3.0,433.92,0.02,12.51,65.09,2.8,26.39,48.49,2.22
1739977200,2025-02-19 15:00:00,2.0,407.22,0.0,9.34,73.67,2.56,24.66,46.48,2.34
1739980800,2025-02-19 16:00:00,2.0,407.22,0.0,8.23,77.25,2.77,24.74,47.89,2.72
1739984400,2025-02-19 17:00:00,3.0,403.88,0.0,7.54,77.96,2.95,25.41,50.31,2.88
1739988000,2025-02-19 18:00:00,3.0,413.89,0.0,7.54,77.96,3.22,25.92,51.84,3.23
1739991600,2025-02-19 19:00:00,3.0,403.88,0.0,7.54,77.96,3.22,25.09,50.88,2.85
1739995200,2025-02-19 20:00:00,2.0,363.83,0.0,6.51,80.11,3.16,23.54,48.04,1.84
1739998800,2025-02-19 21:00:00,2.0,357.15,0.0,5.48,82.25,3.49,23.25,46.75,1.77
1740002400,2025-02-19 22:00:00,2.0,397.21,0.0,6.25,80.82,3.67,24.98,47.36,2.6
1740006000,2025-02-19 23:00:00,3.0,460.62,0.0,8.23,77.25,4.23,27.67,50.11,3.58
1740009600,2025-02-20 00:00:00,3.0,534.06,0.0,10.8,72.24,5.36,30.83,54.48,4.43
1740013200,2025-02-20 01:00:00,3.0,727.65,0.0,18.16,62.94,7.75,38.97,64.77,6.33
1740016800,2025-02-20 02:00:00,4.0,1188.28,0.0,37.01,42.92,11.8,58.29,87.82,10.51
1740020400,2025-02-20 03:00:00,5.0,2536.77,12.29,77.46,6.88,20.5,114.52,156.86,21.53
1740024000,2025-02-20 04:00:00,5.0,5287.17,82.25,100.08,7.06,35.76,228.5,295.37,41.04
1740027600,2025-02-20 05:00:00,5.0,8010.86,132.32,148.06,14.66,49.11,353.19,444.8,64.85
1740031200,2025-02-20 06:00:00,5.0,8331.3,89.41,219.35,47.21,54.84,418.13,526.73,73.97
1740034800,2025-02-20 07:00:00,5.0,4966.74,25.48,156.28,128.75,49.59,291.96,398.12,47.12
1740038400,2025-02-20 08:00:00,5.0,3471.37,12.41,106.93,185.97,36.24,230.5,319.86,32.42
1740042000,2025-02-20 09:00:00,5.0,2723.69,9.28,84.31,191.69,26.7,181.37,254.09,24.57
1740045600,2025-02-20 10:00:00,5.0,1922.61,8.05,63.06,157.36,19.07,105.31,162.01,18.75
1740049200,2025-02-20 11:00:00,4.0,1455.31,7.49,52.78,120.16,17.4,57.61,102.74,15.2
1740052800,2025-02-20 12:00:00,3.0,1268.39,5.87,50.72,97.27,16.45,41.44,81.63,12.79
1740056400,2025-02-20 13:00:00,3.0,1482.01,3.46,70.6,62.94,15.97,39.22,78.55,13.93
1740060000,2025-02-20 14:00:00,3.0,1922.61,1.1,100.08,18.24,16.69,47.36,88.99,17.73
1740063600,2025-02-20 15:00:00,4.0,2029.42,3.44,95.96,5.05,17.4,56.45,101.08,21.53
1740067200,2025-02-20 16:00:00,4.0,2082.82,3.58,90.48,4.56,18.12,66.83,115.18,25.33
1740070800,2025-02-20 17:00:00,4.0,1735.69,0.26,72.66,24.32,15.5,62.77,112.38,23.05
1740074400,2025-02-20 18:00:00,4.0,1281.74,0.0,47.98,60.8,12.04,51.07,100.27,18.24
1740078000,2025-02-20 19:00:00,3.0,881.2,0.0,30.5,87.26,9.3,36.67,83.72,11.78
1740081600,2025-02-20 20:00:00,3.0,647.54,0.0,22.62,98.71,8.11,28.27,72.58,7.03
1740085200,2025-02-20 21:00:00,3.0,534.06,0.0,16.79,105.86,8.11,26.77,70.78,5.26
1740088800,2025-02-20 22:00:00,3.0,560.76,0.0,14.91,107.29,9.3,31.75,76.8,6.08
1740092400,2025-02-20 23:00:00,3.0,741.0,0.0,19.71,98.71,11.56,43.64,91.07,9.88
1740096000,2025-02-21 00:00:00,4.0,1081.47,0.0,30.16,80.82,14.78,62.79,113.03,15.96
1740099600,2025-02-21 01:00:00,5.0,1655.58,0.0,50.04,57.22,20.27,92.51,146.62,25.33
1740103200,2025-02-21 02:00:00,5.0,2483.37,0.03,82.25,31.47,26.23,129.5,188.67,36.48
1740106800,2025-02-21 03:00:00,5.0,4379.27,21.9,130.24,2.64,36.72,208.84,279.76,59.78
1740110400,2025-02-21 04:00:00,5.0,7049.56,91.2,156.28,5.36,50.54,303.94,392.21,85.12
1740114000,2025-02-21 05:00:00,5.0,8972.17,132.32,186.44,11.98,61.99,369.19,475.23,100.31
1740117600,2025-02-21 06:00:00,5.0,9399.41,116.23,227.57,27.18,72.48,405.34,525.56,104.37
1740121200,2025-02-21 07:00:00,5.0,9613.04,81.36,282.41,24.68,81.06,444.54,577.22,100.31
1740124800,2025-02-21 08:00:00,5.0,11535.64,96.56,339.98,18.78,86.78,555.76,710.76,106.39
1740128400,2025-02-21 09:00:00,5.0,12817.38,102.82,389.34,17.52,87.74,649.05,821.76,104.37
1740132000,2025-02-21 10:00:00,5.0,12390.14,88.51,422.24,18.6,85.83,683.9,853.88,97.27
1740135600,2025-02-21 11:00:00,5.0,11001.59,70.63,416.76,17.7,83.92,656.98,812.7,90.18
1740139200,2025-02-21 12:00:00,5.0,9719.85,67.95,394.82,11.18,81.06,596.91,738.38,82.08
1740142800,2025-02-21 13:00:00,5.0,9078.98,85.83,367.4,6.88,79.15,535.65,665.61,76.0
1740146400,2025-02-21 14:00:00,5.0,7156.37,78.68,287.89,0.17,63.9,411.59,527.28,58.77
1740150000,2025-02-21 15:00:00,5.0,4325.87,38.0,175.48,0.02,37.19,250.06,349.73,38.0
1740153600,2025-02-21 16:00:00,5.0,2723.69,10.28,112.41,0.89,20.74,153.13,241.42,27.61
1740157200,2025-02-21 17:00:00,5.0,2109.53,2.37,83.63,7.15,15.26,111.12,190.31,25.08
1740160800,2025-02-21 18:00:00,5.0,1708.98,0.16,64.43,23.25,12.52,86.1,153.31,22.8
1740164400,2025-02-21 19:00:00,4.0,1482.01,0.01,54.15,37.91,10.97,71.69,126.02,18.75
1740168000,2025-02-21 20:00:00,5.0,1735.69,0.02,65.8,30.4,12.52,79.66,127.61,19.0
1740171600,2025-02-21 21:00:00,5.0,2189.64,0.08,80.88,18.6,15.5,105.7,152.99,22.8
1740175200,2025-02-21 22:00:00,5.0,2296.45,0.14,77.46,12.52,16.21,120.5,169.44,24.83
1740178800,2025-02-21 23:00:00,5.0,2002.72,0.06,61.69,16.09,15.97,112.98,163.96,24.83
1740182400,2025-02-22 00:00:00,5.0,1815.8,0.03,52.09,17.88,16.93,102.83,156.2,25.59
1740186000,2025-02-22 01:00:00,5.0,1588.82,0.03,43.53,20.56,18.12,92.8,148.91,25.84
1740189600,2025-02-22 02:00:00,5.0,1628.88,0.01,43.53,28.25,20.03,101.39,160.26,29.64
1740193200,2025-02-22 03:00:00,5.0,2429.96,1.96,69.23,21.99,25.75,145.16,206.72,41.04
1740196800,2025-02-22 04:00:00,5.0,2910.61,13.3,78.83,35.76,32.42,164.15,224.72,43.57
1740200400,2025-02-22 05:00:00,5.0,3124.24,20.56,82.94,55.79,37.19,173.46,234.48,43.57
1740204000,2025-02-22 06:00:00,5.0,3124.24,16.76,84.31,94.41,43.39,190.24,252.18,43.57
1740207600,2025-02-22 07:00:00,5.0,4058.84,16.76,111.04,137.33,51.02,267.11,338.62,49.14
1740211200,2025-02-22 08:00:00,5.0,5340.58,16.32,150.8,200.27,55.79,387.24,473.92,52.18
1740214800,2025-02-22 09:00:00,5.0,5661.01,12.74,167.25,274.66,51.98,475.96,575.05,46.61
1740218400,2025-02-22 10:00:00,5.0,4486.08,8.83,143.95,308.99,39.1,458.4,555.24,32.93
1740222000,2025-02-22 11:00:00,5.0,3044.13,5.59,98.71,283.24,28.37,347.83,430.81,20.77
1740225600,2025-02-22 12:00:00,5.0,2002.72,3.24,66.49,231.74,25.51,226.63,295.28,14.69
1740229200,2025-02-22 13:00:00,5.0,1295.09,0.99,47.3,183.11,30.99,136.6,184.88,9.25
1740232800,2025-02-22 14:00:00,5.0,1268.39,0.03,48.67,141.62,27.42,115.0,157.64,9.37
1740236400,2025-02-22 15:00:00,5.0,1241.68,0.0,44.55,125.89,22.41,113.35,156.47,10.77
1740240000,2025-02-22 16:00:00,5.0,1295.09,0.0,43.18,115.87,19.07,117.94,163.61,13.05
1740243600,2025-02-22 17:00:00,5.0,1375.2,0.0,42.16,110.15,17.4,125.26,172.06,15.33
1740247200,2025-02-22 18:00:00,5.0,1495.36,0.0,42.84,107.29,17.17,137.1,185.29,17.73
1740250800,2025-02-22 19:00:00,5.0,1468.66,0.0,42.16,104.43,15.5,138.66,186.64,16.09
1740254400,2025-02-22 20:00:00,5.0,1308.44,0.0,37.01,104.43,12.87,130.88,175.64,11.27
1740258000,2025-02-22 21:00:00,5.0,1174.93,0.0,29.13,108.72,11.68,130.55,172.95,8.49
1740261600,2025-02-22 22:00:00,5.0,1081.47,0.0,21.59,115.87,10.85,135.06,175.56,7.22
1740265200,2025-02-22 23:00:00,5.0,1081.47,0.0,17.65,127.32,10.73,149.7,189.56,6.52
1740268800,2025-02-23 00:00:00,5.0,1228.33,0.0,17.31,141.62,11.68,178.88,219.49,6.02
1740272400,2025-02-23 01:00:00,5.0,1455.31,0.0,20.39,151.63,12.99,212.17,254.04,5.76
1740276000,2025-02-23 02:00:00,5.0,1789.09,0.0,28.45,154.5,13.83,242.07,285.38,6.71
1740279600,2025-02-23 03:00:00,5.0,2456.67,0.28,55.52,130.18,15.5,270.07,317.08,11.27
1740283200,2025-02-23 04:00:00,5.0,3417.97,6.98,98.71,94.41,19.55,287.61,339.03,17.23
1740286800,2025-02-23 05:00:00,5.0,4005.43,17.43,115.16,91.55,23.13,292.74,345.18,21.53
1740290400,2025-02-23 06:00:00,5.0,3471.37,14.98,98.71,124.45,24.56,262.19,310.68,22.04
1740294000,2025-02-23 07:00:00,5.0,1508.71,5.48,36.67,138.76,18.12,121.75,152.41,10.64
1740297600,2025-02-23 08:00:00,5.0,1001.36,3.58,22.96,140.19,12.99,83.52,108.89,8.49
1740301200,2025-02-23 09:00:00,4.0,807.76,3.55,19.36,120.16,9.66,59.73,83.08,7.73
1740304800,2025-02-23 10:00:00,3.0,654.22,4.08,16.28,82.97,6.68,38.8,59.4,6.14
1740308400,2025-02-23 11:00:00,3.0,614.17,4.69,15.59,60.8,5.78,29.59,48.17,5.38
1740312000,2025-02-23 12:00:00,3.0,634.19,4.75,17.82,47.92,5.54,26.55,43.97,5.13
1740315600,2025-02-23 13:00:00,3.0,720.98,3.69,26.39,31.83,5.84,26.65,43.5,5.32
1740319200,2025-02-23 14:00:00,3.0,741.0,0.57,32.56,18.6,5.9,27.37,43.95,5.38
1740322800,2025-02-23 15:00:00,3.0,680.92,0.2,27.08,20.92,5.84,28.58,45.43,5.7
1740326400,2025-02-23 16:00:00,3.0,680.92,0.11,24.68,23.25,6.74,31.3,48.98,6.65
1740330000,2025-02-23 17:00:00,3.0,734.33,0.11,25.02,22.53,7.99,34.98,53.36,7.6
1740333600,2025-02-23 18:00:00,3.0,854.49,0.18,28.1,19.85,9.42,41.6,60.99,8.61
1740337200,2025-02-23 19:00:00,3.0,1014.71,0.58,34.27,13.23,9.78,47.73,69.12,9.5
1740340800,2025-02-23 20:00:00,3.0,1094.82,1.1,38.04,7.33,8.94,49.76,71.09,8.04
1740344400,2025-02-23 21:00:00,4.0,1108.17,1.08,37.7,6.62,9.18,51.61,71.81,7.6
1740348000,2025-02-23 22:00:00,4.0,1014.71,0.39,32.22,10.82,9.06,50.3,67.79,7.28
1740351600,2025-02-23 23:00:00,3.0,907.9,0.12,27.08,16.09,9.3,47.65,62.51,7.35
1740355200,2025-02-24 00:00:00,3.0,894.55,0.09,26.05,17.7,10.49,48.49,62.42,7.85
1740358800,2025-02-24 01:00:00,4.0,1014.71,0.21,30.5,14.48,12.87,51.9,65.36,9.12
1740362400,2025-02-24 02:00:00,4.0,1361.85,2.26,42.5,5.23,16.69,62.46,77.8,12.67
1740366000,2025-02-24 03:00:00,5.0,2403.26,26.38,54.15,0.19,24.32,96.59,118.73,22.8
1740369600,2025-02-24 04:00:00,5.0,3845.21,69.74,68.55,0.78,39.58,145.35,177.86,33.94
1740373200,2025-02-24 05:00:00,5.0,4699.71,92.09,83.63,1.65,55.79,175.0,215.09,41.04
1740376800,2025-02-24 06:00:00,5.0,4699.71,86.72,94.59,2.82,69.62,180.53,224.05,47.12
1740380400,2025-02-24 07:00:00,5.0,5287.17,76.0,131.61,31.83,73.43,233.92,285.71,53.2
1740384000,2025-02-24 08:00:00,5.0,5928.04,44.7,191.93,78.68,62.94,338.6,400.41,48.13
1740387600,2025-02-24 09:00:00,5.0,4806.52,21.68,161.77,124.45,41.96,340.47,400.07,30.91
1740391200,2025-02-24 10:00:00,5.0,2696.99,9.83,89.11,125.89,20.27,207.87,253.52,17.73
1740394800,2025-02-24 11:00:00,5.0,1642.23,7.38,56.21,85.12,11.09,98.43,136.15,13.43
1740398400,2025-02-24 12:00:00,4.0,1201.63,7.04,43.87,40.77,7.99,50.22,82.18,10.77
1740402000,2025-02-24 13:00:00,3.0,1041.41,5.87,42.16,14.48,7.51,36.09,62.27,8.36
1740405600,2025-02-24 14:00:00,3.0,1041.41,6.48,43.18,2.41,7.87,34.88,59.4,8.36
1740409200,2025-02-24 15:00:00,3.0,974.66,4.19,38.73,3.62,7.99,36.8,61.9,9.12
1740412800,2025-02-24 16:00:00,3.0,1121.52,4.75,40.1,3.08,10.01,46.1,74.38,12.16
1740416400,2025-02-24 17:00:00,4.0,1508.71,11.18,42.16,0.46,13.11,65.47,98.4,16.47
1740420000,2025-02-24 18:00:00,5.0,2029.42,20.79,43.87,0.04,16.45,92.69,130.4,20.77
1740423600,2025-02-24 19:00:00,5.0,2349.85,29.06,44.55,0.0,17.88,107.84,147.12,21.28
1740427200,2025-02-24 20:00:00,5.0,2376.56,31.74,45.24,0.0,16.69,106.4,141.5,16.47
1740430800,2025-02-24 21:00:00,5.0,2296.45,29.06,45.24,0.0,15.97,104.04,134.31,13.3
1740434400,2025-02-24 22:00:00,5.0,1949.31,19.67,41.81,0.02,14.19,92.65,116.89,11.4
1740438000,2025-02-24 23:00:00,5.0,1548.77,11.4,35.99,0.09,12.64,77.9,98.6,10.51
1740441600,2025-02-25 00:00:00,4.0,1361.85,7.93,32.56,0.25,12.76,71.44,91.2,10.26
1740445200,2025-02-25 01:00:00,4.0,1428.6,7.93,34.96,0.31,14.42,74.58,95.72,10.89
1740448800,2025-02-25 02:00:00,5.0,1869.2,15.42,41.81,0.09,17.88,92.32,119.97,14.06
1740452400,2025-02-25 03:00:00,5.0,3231.05,50.07,52.09,0.1,25.03,147.86,188.11,25.84
1740456000,2025-02-25 04:00:00,5.0,5928.04,125.17,70.6,1.72,38.15,248.81,307.22,45.6
1740459600,2025-02-25 05:00:00,5.0,8865.36,194.91,112.41,5.1,53.88,371.66,450.33,71.94
1740463200,2025-02-25 06:00:00,5.0,11108.4,184.18,219.35,17.7,69.62,516.63,613.29,95.25
1740466800,2025-02-25 07:00:00,5.0,12176.51,92.98,372.89,76.53,75.34,704.53,818.4,95.25
1740470400,2025-02-25 08:00:00,5.0,11535.64,36.21,394.82,214.58,66.76,859.42,981.04,72.96
1740474000,2025-02-25 09:00:00,5.0,9185.79,17.43,307.08,329.02,52.93,857.95,973.64,47.62
1740477600,2025-02-25 10:00:00,5.0,5607.6,9.28,180.96,320.43,34.81,586.94,674.09,28.88
1740481200,2025-02-25 11:00:00,5.0,3417.97,6.43,116.53,231.74,23.6,319.27,380.97,22.04
1740484800,2025-02-25 12:00:00,5.0,2510.07,5.2,101.45,133.04,17.4,174.83,222.37,19.76
1740488400,2025-02-25 13:00:00,5.0,2216.34,3.41,106.93,49.35,14.9,102.33,139.07,18.75
1740492000,2025-02-25 14:00:00,5.0,2269.74,9.83,105.56,3.4,14.07,76.63,110.39,20.27
1740495600,2025-02-25 15:00:00,4.0,2109.53,17.88,78.14,0.12,13.59,69.42,104.57,21.53
1740499200,2025-02-25 16:00:00,4.0,2082.82,18.33,65.12,0.08,14.78,74.48,112.27,23.56
1740502800,2025-02-25 17:00:00,5.0,1976.01,12.74,59.63,0.34,15.5,77.7,114.48,23.56
1740506400,2025-02-25 18:00:00,4.0,1708.98,4.92,54.84,2.62,14.66,72.35,105.78,21.53
1740510000,2025-02-25 19:00:00,4.0,1401.9,1.45,47.98,7.6,12.52,59.49,88.54,16.21
1740513600,2025-02-25 20:00:00,3.0,1174.93,0.61,42.84,11.35,10.61,48.8,74.2,10.64
1740517200,2025-02-25 21:00:00,3.0,1081.47,0.21,38.04,15.56,10.49,46.97,70.64,8.61
1740520800,2025-02-25 22:00:00,3.0,988.01,0.06,31.53,20.03,10.13,47.28,69.87,8.11
1740524400,2025-02-25 23:00:00,3.0,894.55,0.03,26.05,23.25,9.42,46.03,67.18,7.73
1740528000,2025-02-26 00:00:00,3.0,854.49,0.02,23.99,24.68,9.3,45.82,64.89,7.54
1740531600,2025-02-26 01:00:00,4.0,961.3,0.08,28.1,21.1,10.13,50.34,67.23,8.04
1740535200,2025-02-26 02:00:00,4.0,1361.85,1.82,42.16,8.14,12.99,66.54,84.6,11.02
1740538800,2025-02-26 03:00:00,5.0,2616.88,30.85,52.78,0.2,20.03,116.56,142.7,21.03
1740542400,2025-02-26 04:00:00,5.0,4753.11,96.56,62.38,0.44,30.52,193.38,232.74,33.94
1740546000,2025-02-26 05:00:00,5.0,5767.82,132.32,67.86,0.73,36.24,224.71,271.99,41.04
1740549600,2025-02-26 06:00:00,5.0,5020.14,108.18,69.23,1.92,33.86,194.05,239.27,42.56
1740553200,2025-02-26 07:00:00,5.0,2803.8,40.23,63.75,37.19,25.51,116.02,148.64,27.36
1740556800,2025-02-26 08:00:00,5.0,1815.8,14.08,53.47,82.97,18.36,89.42,115.39,18.75
1740560400,2025-02-26 09:00:00,4.0,1441.96,9.39,43.87,97.27,14.19,72.46,94.85,15.33
1740564000,2025-02-26 10:00:00,4.0,1174.93,8.72,36.33,77.25,10.61,50.1,69.37,13.05
1740567600,2025-02-26 11:00:00,3.0,1148.22,10.28,36.33,51.5,9.54,42.06,60.9,12.29
1740571200,2025-02-26 12:00:00,3.0,1241.68,12.74,41.13,30.04,9.54,40.44,60.11,12.67
1740574800,2025-02-26 13:00:00,3.0,1562.12,21.46,50.04,9.03,10.97,43.81,64.36,14.69
1740578400,2025-02-26 14:00:00,3.0,1735.69,31.29,46.61,0.19,12.04,47.07,67.89,16.21
1740582000,2025-02-26 15:00:00,4.0,1655.58,29.5,38.39,0.01,12.76,51.0,72.94,17.99
1740585600,2025-02-26 16:00:00,4.0,1708.98,27.05,36.33,0.01,15.14,61.7,85.4,20.52
1740589200,2025-02-26 17:00:00,4.0,1815.8,24.81,35.64,0.01,16.45,73.4,98.18,20.27
1740592800,2025-02-26 18:00:00,4.0,1708.98,19.0,34.62,0.06,15.26,74.39,98.97,16.97
1740596400,2025-02-26 19:00:00,4.0,1308.44,9.5,33.59,0.64,11.8,56.9,78.07,11.53
1740600000,2025-02-26 20:00:00,3.0,934.6,2.24,31.19,5.19,9.06,39.02,55.31,7.03
1740603600,2025-02-26 21:00:00,3.0,720.98,0.19,23.99,16.63,8.11,31.72,45.04,5.57
1740607200,2025-02-26 22:00:00,3.0,580.79,0.01,16.11,28.61,7.15,27.19,38.67,4.88
1740610800,2025-02-26 23:00:00,2.0,507.35,0.0,12.17,35.41,6.79,24.37,35.13,4.5
1740614400,2025-02-27 00:00:00,2.0,473.98,0.0,10.97,38.27,7.03,22.86,33.72,4.18
1740618000,2025-02-27 01:00:00,2.0,467.3,0.0,11.65,38.98,7.87,22.42,34.03,4.12
1740621600,2025-02-27 02:00:00,2.0,527.38,0.01,14.91,36.84,8.7,23.92,37.11,4.69
1740625200,2025-02-27 03:00:00,3.0,714.3,0.18,24.33,28.61,10.01,29.05,45.42,6.78
1740628800,2025-02-27 04:00:00,3.0,854.49,1.44,32.56,21.82,10.73,31.21,50.28,7.73
1740632400,2025-02-27 05:00:00,3.0,821.11,2.43,30.5,25.39,10.37,29.9,50.72,7.6
1740636000,2025-02-27 06:00:00,3.0,660.9,2.04,22.62,36.84,9.18,26.63,48.3,6.78
1740639600,2025-02-27 07:00:00,2.0,560.76,2.49,16.11,48.64,7.75,23.91,46.13,5.64
1740643200,2025-02-27 08:00:00,2.0,600.81,3.07,17.14,52.21,7.87,24.46,47.55,5.95
1740646800,2025-02-27 09:00:00,3.0,667.57,4.14,19.36,52.93,8.11,25.54,49.56,6.27
1740650400,2025-02-27 10:00:00,2.0,647.54,5.09,16.62,60.08,7.03,24.89,49.03,5.7
1740654000,2025-02-27 11:00:00,2.0,607.49,3.69,17.14,57.22,6.56,22.94,46.63,5.0
1740657600,2025-02-27 12:00:00,2.0,587.46,2.37,19.02,50.78,6.14,21.43,45.16,4.5
1740661200,2025-02-27 13:00:00,2.0,627.52,0.89,24.68,43.27,6.02,21.51,46.17,4.37
1740664800,2025-02-27 14:00:00,2.0,614.17,0.04,24.68,41.84,5.42,22.27,49.11,4.12
